NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
1.94,0.79,0.02,0.28,high,81,75,8.1,307
1.85,1.04,0,0.13,high,93,46,8.5,121
0.61,1.85,0.11,0.44,high,87,26,6.3,616
1.4,1.06,0.08,0.47,high,91,94,8.1,1505
1.38,1.32,0.02,0.28,high,91,39,8.6,1247
2.04,0.63,0.12,0.22,high,73,78,7,131
2.6,0.2,0.01,0.19,high,88,41,7.2,131
1.15,0,0.76,1.09,high,73,24,9.2,173
1.67,1.18,0,0.13,high,82,23,6.6,20
0.12,1.26,1.16,0.45,high,93,24,9.1,65
1.36,0.86,0.64,0.13,high,94,37,8.5,466
1.58,1.01,0,0.38,high,85,73,5.9,2748
1.01,1.43,0.05,0.47,high,84,85,8.1,1886
1.04,1.37,0.06,0.49,high,64,29,7.8,94
1.36,1.15,0.04,0.41,high,85,19,7.8,78
1.84,0.8,0.04,0.27,high,86,68,6.4,2658
1.33,1.1,0.08,0.44,high,88,59,8.5,572
2.22,0.51,0.06,0.15,high,87,42,9,93
2.07,0.77,0.05,0.05,high,79,13,7.8,4
1.82,0.7,0.15,0.26,high,93,77,7.3,292
1.76,0.68,0.12,0.37,high,85,98,8.3,1172
1.55,0.04,1.19,0.15,high,76,40,8.8,76
1.88,0.77,0,0.27,high,78,7,4.3,700
1.83,0.79,0.03,0.27,high,91,74,8.7,1692
1.54,1.14,0,0.22,high,73,21,8.6,30
0.08,1.24,1.13,0.45,high,93,28,9,45
1.75,0.86,0,0.28,high,67,45,6.8,18
0.99,0.32,1.38,0.2,high,85,30,8.9,16
1.41,1.12,0.05,0.3,high,61,37,5.3,23
1.51,1.12,0.01,0.24,high,76,49,7.7,69
0.86,1.04,0.73,0.26,high,83,61,7.4,179
2.53,0.15,0,0.17,high,81,36,5.8,179
2.09,0.63,0.03,0.11,high,87,34,8.7,111
1.07,1.31,0.06,0.42,high,83,29,7.8,1530
1.98,0.53,0,0.34,high,84,60,8.4,494
2.52,0.09,0,0.22,high,85,58,6.1,90
1.65,0.85,0.05,0.28,high,96,88,8.9,2249
1.96,0.67,0.1,0.09,high,97,70,9.3,747
1.87,0.55,0.11,0.29,high,90,59,8.2,791
1.28,1.04,0.07,0.42,high,75,56,7.5,286
1.28,0.98,0.07,0.46,high,80,90,7.9,2944
2.19,0.22,0,0.38,high,89,22,8.6,39
1.68,0.74,0,0.36,high,87,47,8.2,241
1.05,1.23,0.03,0.47,high,89,59,7.2,301
1.35,1.13,0,0.3,high,81,11,5.6,31
0.89,1.43,0,0.46,high,89,61,7.5,4926
1.5,0.8,0,0.48,high,83,81,7.7,836
1.41,1.12,0,0.24,high,83,33,7.7,46
1.45,0.86,0.09,0.38,high,84,85,7.9,942
1.74,0.77,0,0.26,high,73,74,6.7,389
1.45,0.07,1.1,0.15,high,81,42,7.4,67
1.25,1.14,0.07,0.3,high,84,70,7.6,490
1.2,0.97,0.17,0.42,high,79,63,7.4,211
1.21,1.19,0.04,0.29,high,69,44,6.6,174
1.75,0.52,0.33,0.1,high,95,30,9.1,314
0.99,0.48,1.09,0.14,high,86,23,8.2,56
1.52,0.92,0.02,0.24,high,89,83,7.8,893
1.49,0.92,0.02,0.27,high,82,71,6.5,233
2.42,0.11,0,0.16,high,78,55,5.9,94
1.85,0.64,0.01,0.19,high,84,32,9,41
0.89,1.33,0.08,0.39,high,73,88,6.8,2102
2.38,0.12,0,0.18,high,84,47,5.7,120
1.23,1.11,0,0.34,high,93,52,9.1,271
1.63,0.51,0.35,0.18,high,79,51,7.7,18
0.28,1.39,0.68,0.32,high,83,58,8.7,52
1.48,0.92,0.01,0.26,high,77,39,8.2,69
1.44,1.09,0,0.14,high,92,17,8.6,80
1.99,0.58,0,0.09,high,85,87,8.5,268
1.78,0.63,0,0.25,high,85,67,6.3,171
0.43,2.05,0,0.17,high,84,50,5.5,201
1.15,1.11,0,0.4,high,89,24,7.7,102
0.69,1.4,0.04,0.52,high,84,55,6.9,113
0.86,1.11,0.01,0.66,high,71,24,7.9,47
0.78,0.73,0.89,0.23,high,79,53,6.6,707
2,0.47,0.02,0.14,high,78,18,7.8,21
1.47,0.93,0,0.24,high,80,65,8,127
2.15,0.12,0,0.36,high,90,37,8.2,84
1.54,0.8,0.04,0.24,high,82,92,7.2,454
2.31,0.14,0.01,0.16,high,90,42,7.7,134
0.59,1.79,0.01,0.23,high,90,63,7.5,133
1.56,0.8,0.04,0.21,high,74,71,6.7,288
0.9,1.22,0.04,0.44,high,71,16,7.6,49
1.7,0.44,0.06,0.4,high,91,50,8.7,529
2.03,0.21,0,0.35,high,84,21,8.1,44
1.05,1.05,0.24,0.24,high,79,47,8,124
0.48,1.63,0.04,0.43,high,87,42,7.5,108
0.62,0.82,0.96,0.18,high,73,4,7.7,7
1.4,0.88,0.03,0.26,high,80,27,8.6,57
1.53,0.81,0,0.24,high,80,24,7.4,114
2.14,0.08,0,0.35,high,78,11,7.8,17
0.37,0.27,1.75,0.18,high,72,38,8.7,83
1.7,0.59,0.21,0.07,high,73,28,8.3,179
2.11,0.22,0,0.23,high,83,22,5.5,101
