Global_Sales,Critic_Score,User_Score
high,55,6.8
high,81,7.5
high,81,8.6
high,71,7.7
high,83,8.4
high,89,5.2
high,75,8.6
high,84,8
high,68,7.8
high,76,7.9
high,87,8.2
high,78,7.9
high,77,7.7
high,95,7.5
high,64,6.5
high,77,8.7
high,70,8.8
high,52,4.9
high,76,7.6
high,62,7.2
high,72,6.9
high,57,8.4
high,81,8.1
high,65,5.8
high,74,7.3
high,81,8
high,76,7.3
high,85,8.9
high,70,6.3
high,83,7.9
high,79,7.6
high,43,4.1
high,85,8.5
high,77,7.6
high,88,5.8
high,88,8
high,45,5.8
high,78,8.2
high,73,8.3
high,69,7.3
high,43,3.4
high,53,5.4
high,83,7.9
high,68,9
high,62,5.1
high,79,8.4
high,91,9.1
high,81,8.5
high,88,7.5
high,74,7.5
high,56,7.1
high,65,6.6
high,76,9
high,84,9.1
high,81,8.8
high,81,7.7
high,73,8.8
high,79,8.2
high,87,8
high,50,4.7
high,83,7.8
high,67,6.1
high,84,8.6
high,79,7.8
high,85,6.8
high,79,8.1
high,73,8.6
high,82,5.9
high,73,7.6
high,57,7.6
high,78,8.3
high,82,8.4
high,82,8.6
high,80,8.3
high,78,5.1
high,77,8.2
high,71,2.6
high,79,8.1
high,83,8.3
high,70,6
high,88,8.7
high,79,4.5
high,74,7.6
high,69,6.3
high,84,7.3
high,82,6.8
high,94,9
high,87,8.7
high,75,7.7
high,69,7.7
high,85,8
high,81,7.4
high,80,8.2
high,61,6.9
high,87,8.1
high,73,6.7
high,80,8.5
high,77,5.8
high,77,8.1
high,86,5.7
high,75,8.9
high,66,4.4
high,68,7.6
high,83,6.6
high,92,8.3
high,54,6.9
high,75,8.3
high,47,2.1
high,65,8.3
high,74,6.9
high,76,5.5
high,84,8
high,88,8.9
high,73,7.2
high,85,7.4
high,75,7.5
high,58,6
high,91,7.4
high,70,8.1
high,40,6.1
high,69,7.3
high,59,6.7
high,47,5
high,82,7.4
high,73,7.3
high,85,7.3
high,76,6.6
high,76,7.8
high,86,8.4
high,88,8.8
high,70,5.6
high,75,8.6
high,66,5.9
high,75,8.5
high,81,7.3
high,90,7.3
high,65,6.5
high,89,8.4
high,84,8
high,80,8.3
high,89,8.7
high,71,8.3
high,91,5.6
high,64,7.3
high,77,6.3
high,72,8.1
high,65,7.7
high,63,8.8
high,83,7.9
high,72,7.2
high,84,8.4
high,87,7.1
high,71,7
high,83,8
high,75,6.9
high,75,8
high,81,9
high,89,8
high,82,8.3
high,61,8.3
high,82,8.4
high,70,6.1
high,92,7.6
high,80,7.9
high,81,8.9
high,91,9
high,80,8.4
high,83,7.7
high,73,8.7
high,65,7.3
high,86,8.5
high,46,4.4
high,83,8.8
high,71,7.7
high,81,7.5
high,68,5.8
high,79,8.4
high,88,7.9
high,86,7.4
high,73,7
high,84,8.1
high,75,7.6
high,67,7
high,82,8.8
high,86,8.4
high,77,7.7
high,93,8.5
high,78,8.6
high,79,8.8
high,65,6.1
high,72,7
high,72,8.4
high,90,6.2
high,86,8.1
high,54,7.9
high,61,6
high,48,3.3
high,71,7.4
high,84,7.6
high,83,5.3
high,83,8.7
high,66,6.9
high,92,7.7
high,70,8.7
high,80,8.2
high,51,3.6
high,74,8
high,80,7.9
high,64,6.1
high,81,8
high,72,7.3
high,90,8.5
high,81,7
high,86,8.3
high,77,7.7
high,76,8
high,51,8
high,67,4.5
high,86,8.4
high,92,8.9
high,72,9.3
high,87,8.4
high,79,8.5
high,79,7.8
high,82,6.6
high,85,7.6
high,83,8.6
high,55,6.5
high,88,9.1
high,66,8
high,87,8.2
high,70,5
high,70,8.2
high,78,8.1
high,75,8.3
high,89,8.4
high,79,8.7
high,80,6.8
high,75,6.2
high,77,8.2
high,54,5.4
high,44,6.6
high,59,5.9
high,78,6.4
high,86,7.7
high,82,7.5
high,82,7.6
high,87,8.3
high,81,5.3
high,88,9.2
high,82,8
high,75,5.9
high,85,7.6
high,75,7.9
high,81,8.7
high,54,2.1
high,79,6.6
high,78,5.2
high,77,7.9
high,86,9
high,87,9.1
high,76,4.3
high,76,6.4
high,85,8.1
high,77,7.5
high,82,8.6
high,71,7.9
