Platform,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
GC,1.21,0.57,0.7,0.07,2.54
Wii,1.13,0.87,0.29,0.25,2.54
X360,2.21,0.12,0,0.2,2.54
2600,2.36,0.14,0,0.03,2.53
PS2,1.13,1.12,0.06,0.22,2.52
N64,1.55,0.75,0.16,0.06,2.52
Wii,1.5,0.78,0,0.24,2.52
NES,0.49,0,0.52,1.51,2.52
PS3,0.6,1.31,0.08,0.52,2.51
X360,2.29,0.02,0,0.19,2.5
PS2,0.13,0.07,0.26,2.05,2.5
N64,1.28,0.14,1.08,0.01,2.5
PS3,0.86,1.06,0.18,0.39,2.49
XB,1.84,0.56,0,0.09,2.49
Wii,1.29,0.97,0,0.23,2.49
PS2,1.81,0.52,0,0.15,2.49
PS3,1.15,0.85,0.1,0.39,2.48
X360,1.38,0.85,0,0.25,2.48
PS,1.15,1.14,0.06,0.13,2.48
PS3,1.72,0.44,0.05,0.27,2.48
X360,1.93,0.34,0,0.21,2.48
X360,2.1,0.2,0,0.17,2.47
GC,1.13,0.36,0.92,0.07,2.47
Wii,1.67,0.58,0,0.2,2.46
PS3,1.55,0.54,0.05,0.31,2.45
SNES,0,0,2.43,0.02,2.45
PS,0.93,0.12,1.34,0.06,2.45
PS,2.12,0.25,0,0.07,2.44
X360,1.44,0.73,0.04,0.22,2.44
PSP,0.87,0.98,0,0.59,2.44
PS2,1.07,1.19,0,0.18,2.43
PC,1.52,0.82,0,0.1,2.43
X360,1.56,0.61,0.02,0.23,2.42
DC,1.26,0.61,0.46,0.08,2.42
NES,1.27,0.32,0.78,0.05,2.42
PS3,0.29,1.18,0.54,0.41,2.42
PS2,1.63,0.22,0.51,0.06,2.41
PS2,2.07,0.26,0,0.08,2.41
PS,0.81,0.76,0.7,0.14,2.41
XOne,1.43,0.76,0,0.22,2.41
PS2,0.69,0,0.04,1.68,2.41
XOne,2.07,0.08,0,0.26,2.4
PS,2.1,0.24,0,0.07,2.4
NES,0.77,0.18,1.42,0.03,2.4
PC,2.3,0.1,0,0,2.4
GBA,2.15,0.18,0,0.07,2.39
PS4,0.49,1.49,0.05,0.36,2.39
X360,1.74,0.48,0,0.18,2.39
Wii,1.54,0.63,0,0.22,2.39
PC,1.49,0.81,0,0.1,2.39
PS3,1.07,0.87,0.04,0.4,2.39
X360,1.48,0.71,0,0.2,2.39
PS2,1.67,0.61,0.03,0.07,2.38
PS3,1.02,0.97,0,0.39,2.38
X360,1.73,0.46,0.02,0.18,2.38
N64,1.94,0.39,0.03,0.02,2.38
PS4,1,0.76,0.26,0.36,2.38
PS4,1.46,0.54,0.01,0.37,2.38
PS3,2.04,0.15,0,0.19,2.38
PS2,1.16,0.91,0,0.3,2.38
X360,2.18,0.01,0,0.18,2.37
PC,2.28,0.02,0.08,0,2.37
PS2,0.96,1.08,0.04,0.3,2.37
PS2,1.25,0.86,0.01,0.26,2.37
PS3,2.03,0.13,0,0.21,2.37
X360,1.38,0.74,0.02,0.22,2.36
GB,0.69,0.14,1.48,0.05,2.36
DS,1.07,1.05,0,0.23,2.35
GB,1.39,0.48,0.4,0.08,2.35
GB,0,0,2.34,0.01,2.35
X360,1.68,0.46,0.01,0.2,2.35
Wii,1.32,0.83,0,0.2,2.34
PS2,0.92,0,0.01,1.41,2.34
Wii,1.2,0.9,0,0.24,2.34
PS2,1.08,0.7,0.34,0.21,2.34
X360,1.27,0.86,0,0.2,2.33
3DS,1.14,0.54,0.47,0.17,2.32
XOne,1.93,0.14,0,0.24,2.32
Wii,1.57,0.56,0,0.19,2.32
N64,0.78,0.4,1.06,0.07,2.32
PS,0.79,1.35,0.04,0.14,2.32
PS2,0.85,1.06,0.09,0.32,2.31
DS,0.52,0.45,1.21,0.13,2.31
PS,1.58,0.64,0,0.09,2.31
SNES,0.28,0,2.02,0.01,2.31
PS,1.65,0.46,0.1,0.1,2.31
X360,1.24,0.85,0,0.21,2.3
PC,0.95,1.06,0,0.29,2.3
DS,0.95,0.54,0.62,0.18,2.3
PS3,1.08,0.75,0.15,0.31,2.29
PC,0.91,1.25,0,0.13,2.29
PS3,1.23,0.68,0.04,0.34,2.29
XB,1.38,0.8,0,0.1,2.28
PS3,0.3,1.27,0.46,0.26,2.28
Wii,1.11,0.98,0,0.2,2.28
3DS,0,0,2.28,0,2.28
NES,0.51,0.12,1.63,0.02,2.28
PS2,0.38,0.07,0.01,1.82,2.28
PS3,1.01,0.9,0,0.37,2.28
PS3,1.05,0.77,0.1,0.36,2.28
PS,0.07,2,0.02,0.18,2.28
3DS,1.12,0.39,0.64,0.12,2.27
PS3,1.34,0.62,0,0.31,2.27
Wii,1.07,0.92,0.04,0.24,2.27
GBA,1.22,0.1,0.91,0.04,2.27
GBA,0.9,0.73,0.54,0.09,2.26
PS3,1.4,0.54,0.02,0.3,2.26
Wii,1.19,0.84,0,0.23,2.26
Wii,1.34,0.57,0.14,0.21,2.26
PSV,0.28,0.79,0.87,0.32,2.25
PS2,0.62,0.44,1.06,0.13,2.25
PS,1.52,0.46,0.2,0.08,2.25
GC,1.48,0.25,0.46,0.06,2.25
PS3,1.93,0.15,0,0.17,2.25
Wii,0.67,0.41,1.05,0.11,2.25
PSP,0.51,0.51,0.91,0.32,2.25
GBA,1.19,0.71,0.22,0.13,2.24
GBA,1.29,0.83,0,0.11,2.23
NES,1.74,0.25,0.21,0.03,2.23
DS,1.42,0.61,0,0.21,2.23
PS2,1.09,0.85,0,0.28,2.23
WiiU,1.27,0.62,0.18,0.16,2.22
PS2,0.88,1.03,0,0.31,2.22
DS,1.71,0.32,0.02,0.18,2.22
GB,1,0.63,0.45,0.13,2.22
X360,1.03,0.98,0,0.21,2.22
X360,1.45,0.55,0.02,0.19,2.21
XOne,1.47,0.55,0,0.19,2.21
PS2,1.06,0.82,0.05,0.28,2.21
X360,1.78,0.24,0,0.18,2.2
2600,2.06,0.12,0,0.02,2.2
X360,2.01,0.02,0,0.17,2.2
GB,1.11,0.51,0.34,0.23,2.2
NES,0.15,0,2.05,0,2.2
Wii,1.28,0.68,0.02,0.21,2.2
DS,1.06,0.91,0,0.23,2.2
PS3,0.34,0.97,0.55,0.33,2.19
X360,1.17,0.78,0.02,0.22,2.19
XB,1.68,0.44,0,0.08,2.19
GB,0.87,0.17,1.1,0.05,2.19
GB,1.04,0.72,0.3,0.13,2.19
PS3,0.59,1.07,0.07,0.45,2.19
GB,0,0,2.17,0.01,2.18
PS2,1.92,0.2,0,0.06,2.18
XOne,1.21,0.78,0.01,0.17,2.18
X360,1.97,0.07,0,0.13,2.18
DS,1.29,0.04,0.73,0.12,2.18
GBA,1.48,0.17,0.47,0.06,2.17
X360,1.27,0.68,0.01,0.2,2.17
N64,1.6,0.46,0.08,0.03,2.17
NES,0.48,0.11,1.56,0.02,2.17
PC,1.23,0.83,0,0.1,2.16
Wii,1.51,0.47,0,0.18,2.16
PS,1.5,0.55,0.02,0.08,2.15
PS4,0.54,1.16,0.13,0.32,2.15
NES,0.14,0.03,1.98,0,2.15
XOne,0.6,1.41,0,0.14,2.15
PSP,0.52,1.03,0,0.59,2.14
SNES,0.66,0,1.45,0.03,2.14
NES,0.01,0,2.13,0,2.14
NES,1.47,0.38,0.19,0.1,2.14
PC,1.2,0.84,0,0.1,2.14
2600,1.99,0.12,0,0.02,2.13
PS2,1.04,0.81,0,0.27,2.13
DS,0.64,0.07,1.35,0.08,2.13
GBA,0.82,0.37,0.89,0.05,2.13
PS4,0.59,1.16,0.06,0.33,2.13
DS,0.93,0.97,0.02,0.21,2.12
DS,0.91,0.05,1.07,0.09,2.12
Wii,1.47,0.09,0.45,0.11,2.12
XB,1.37,0.61,0.05,0.09,2.12
GB,0.83,0.33,0.92,0.04,2.12
PS3,1.61,0.27,0.05,0.18,2.11
PS3,1.2,0.62,0,0.29,2.11
N64,1.68,0.4,0,0.03,2.11
PS3,0.11,1.34,0.4,0.26,2.11
PS2,1.68,0.31,0.02,0.09,2.11
Wii,0.9,0.45,0.63,0.13,2.11
Wii,1.35,0.56,0,0.2,2.11
PS2,0.63,0.21,1.13,0.13,2.11
X360,1.63,0.33,0,0.15,2.11
PS,0.94,0.07,1.05,0.04,2.1
PS2,1.17,0.72,0,0.22,2.1
XB,1.54,0.44,0.04,0.07,2.1
PSP,1.77,0.13,0.02,0.18,2.1
X360,1.41,0.51,0.01,0.17,2.1
PS2,0.99,0.63,0.29,0.19,2.09
PS,0,0,1.96,0.14,2.09
X360,1.16,0.65,0.08,0.2,2.09
PS2,1.26,0.6,0.05,0.18,2.09
X360,1.84,0.12,0.01,0.13,2.09
Wii,1.97,0,0,0.12,2.09
DS,0.92,0.94,0,0.22,2.09
PS4,0.7,0.93,0.14,0.32,2.09
PSP,0.46,0.42,0.96,0.25,2.09
PC,1.77,0.32,0,0,2.08
PS2,1.11,0.71,0,0.27,2.08
PS3,0.63,1.02,0.05,0.39,2.08
Wii,1.36,0.52,0,0.2,2.08
GC,0.97,0.33,0.73,0.06,2.08
PS3,0.59,0.99,0.13,0.36,2.08
PC,2.04,0.04,0,0,2.08
PC,0.89,1.08,0,0.11,2.08
PS3,0.79,0.94,0,0.35,2.08
PS,1.54,0.46,0,0.08,2.07
PSP,0.63,0.42,0.75,0.26,2.07
X360,1.48,0.39,0,0.19,2.07
PS3,0.75,0.54,0.54,0.23,2.07
GBA,1.64,0.36,0,0.07,2.07
X360,1.04,0.8,0.01,0.22,2.06
PS3,0.73,0.97,0.02,0.34,2.06
X360,1.2,0.63,0.04,0.19,2.06
GBA,0.71,0.52,0.74,0.08,2.06
GBA,1.15,0.77,0.04,0.1,2.06
PS,0.68,0.46,0.79,0.13,2.06
PS2,1.06,0.62,0.13,0.25,2.06
3DS,0.89,0.57,0.46,0.13,2.06
PS3,0.73,0.92,0.04,0.37,2.05
DS,1.23,0.64,0,0.19,2.05
PS3,1.43,0.33,0.04,0.25,2.05
DS,1.16,0.06,0.83,0,2.05
GC,1.47,0.48,0.05,0.06,2.05
PS3,0.71,0.83,0.15,0.35,2.05
GEN,1.75,0.25,0,0.05,2.05
X360,0.48,1.29,0.02,0.25,2.05
DS,1.11,0.27,0.53,0.14,2.04
X360,1.45,0.42,0.01,0.16,2.04
Wii,0.73,1.09,0,0.23,2.04
PS2,1.74,0.02,0,0.28,2.04
PS2,0.71,1.02,0,0.31,2.04
GBA,1.2,0.48,0.29,0.07,2.04
PS3,0.58,1.06,0.03,0.37,2.04
PS4,1.53,0.25,0,0.25,2.03
N64,1.25,0.61,0.13,0.05,2.03
X360,1.47,0.4,0,0.16,2.03
PS2,1.57,0.18,0,0.27,2.03
PS3,1.05,0.67,0,0.3,2.02
X360,1.81,0.05,0.01,0.15,2.02
X360,1.76,0.09,0,0.17,2.02
X360,0.82,0.98,0.04,0.18,2.02
DS,0.49,1.27,0,0.25,2.01
XOne,1.2,0.62,0,0.18,2.01
PS3,0.77,0.85,0.01,0.37,2
3DS,0.89,0.45,0.53,0.13,2
PS4,0.35,1.31,0.02,0.33,2
SNES,0.52,0.16,1.29,0.03,2
PS3,1.48,0.3,0,0.22,2
PC,0.01,0,0,0,0.01
DS,0,0.01,0,0,0.01
DS,0,0,0.01,0,0.01
DS,0.01,0,0,0,0.01
PSV,0,0,0.01,0,0.01
PSP,0,0,0.01,0,0.01
PC,0.01,0,0,0,0.01
DS,0.01,0,0,0,0.01
GBA,0.01,0,0,0,0.01
GC,0.01,0,0,0,0.01
PS2,0,0,0,0,0.01
DS,0,0.01,0,0,0.01
GBA,0.01,0,0,0,0.01
